Proximity,Seed,Sample_Size,Train_Error,Test_Error,RF_OOB,RF_Test
OOB,1012,500,0.0628571428571428,0.0533333333333333,0.234285714285714,0.186666666666667
Original,1012,500,0.182857142857143,0.04,0.234285714285714,0.186666666666667
RF-GAP,840,500,0,0,0.242857142857143,0.2
OOB,840,500,0.0571428571428572,0.0333333333333333,0.242857142857143,0.2
Original,840,500,0.18,0.0266666666666666,0.242857142857143,0.2
RF-GAP,654,500,0,0,0.177142857142857,0.226666666666667
OOB,654,500,0.04,0.0266666666666666,0.177142857142857,0.226666666666667
Original,654,500,0.12,0.0266666666666666,0.177142857142857,0.226666666666667
RF-GAP,606,500,0,0,0.18,0.213333333333333
OOB,606,500,0.0600000000000001,0.0333333333333333,0.18,0.213333333333333
Original,606,500,0.117142857142857,0.0133333333333333,0.18,0.213333333333333
RF-GAP,234,500,0.00285714285714289,0,0.18,0.173333333333333
OOB,234,500,0.0371428571428571,0.0600000000000001,0.18,0.173333333333333
Original,234,500,0.128571428571429,0.0666666666666667,0.18,0.173333333333333
RF-GAP,2024,500,0,0,0.217142857142857,0.153333333333333
OOB,2024,500,0.0742857142857143,0.133333333333333,0.217142857142857,0.153333333333333
Original,2024,500,0.162857142857143,0.106666666666667,0.217142857142857,0.153333333333333
RF-GAP,1260,500,0.00285714285714289,0,0.165714285714286,0.186666666666667
OOB,1260,500,0.0514285714285714,0.0466666666666666,0.165714285714286,0.186666666666667
Original,1260,500,0.114285714285714,0.0266666666666666,0.165714285714286,0.186666666666667
RF-GAP,981,500,0,0,0.208571428571429,0.186666666666667
OOB,981,500,0.0657142857142857,0.02,0.208571428571429,0.186666666666667
Original,981,500,0.168571428571429,0.00666666666666671,0.208571428571429,0.186666666666667
RF-GAP,909,500,0.00285714285714289,0,0.251428571428571,0.2
OOB,909,500,0.0742857142857143,0.0600000000000001,0.251428571428571,0.2
Original,909,500,0.188571428571429,0.04,0.251428571428571,0.2
RF-GAP,351,500,0.00857142857142856,0,0.185714285714286,0.193333333333333
OOB,351,500,0.0657142857142857,0.0600000000000001,0.185714285714286,0.193333333333333
Original,351,500,0.142857142857143,0.0466666666666666,0.185714285714286,0.193333333333333
RF-GAP,3036,500,0,0,0.188571428571429,0.186666666666667
OOB,3036,500,0.0342857142857143,0.0466666666666666,0.188571428571429,0.186666666666667
Original,3036,500,0.125714285714286,0.0333333333333333,0.188571428571429,0.186666666666667
RF-GAP,1680,500,0.00285714285714289,0,0.18,0.186666666666667
OOB,1680,500,0.0571428571428572,0.0666666666666667,0.18,0.186666666666667
Original,1680,500,0.125714285714286,0.0666666666666667,0.18,0.186666666666667
RF-GAP,1308,500,0,0,0.194285714285714,0.153333333333333
OOB,1308,500,0.0371428571428571,0.04,0.194285714285714,0.153333333333333
Original,1308,500,0.142857142857143,0.02,0.194285714285714,0.153333333333333
RF-GAP,1212,500,0,0,0.222857142857143,0.22
OOB,1212,500,0.0542857142857143,0.0466666666666666,0.222857142857143,0.22
Original,1212,500,0.177142857142857,0.0333333333333333,0.222857142857143,0.22
RF-GAP,468,500,0.00571428571428567,0,0.185714285714286,0.226666666666667
OOB,468,500,0.0571428571428572,0.0533333333333333,0.185714285714286,0.226666666666667
Original,468,500,0.14,0.0266666666666666,0.185714285714286,0.226666666666667
RF-GAP,4048,500,0.00285714285714289,0,0.211428571428571,0.2
OOB,4048,500,0.0628571428571428,0.04,0.211428571428571,0.2
Original,4048,500,0.171428571428571,0.0266666666666666,0.211428571428571,0.2
RF-GAP,420,1000,0.00142857142857145,0,0.222857142857143,0.25
OOB,420,1000,0.0557142857142857,0.0433333333333333,0.222857142857143,0.25
Original,420,1000,0.147142857142857,0.0333333333333333,0.222857142857143,0.25
RF-GAP,327,1000,0,0,0.177142857142857,0.183333333333333
OOB,327,1000,0.0371428571428571,0.03,0.177142857142857,0.183333333333333
Original,327,1000,0.107142857142857,0.0266666666666666,0.177142857142857,0.183333333333333
RF-GAP,303,1000,0,0,0.2,0.25
OOB,303,1000,0.0557142857142857,0.0333333333333333,0.2,0.25
Original,303,1000,0.134285714285714,0.0233333333333333,0.2,0.25
RF-GAP,117,1000,0,0,0.185714285714286,0.193333333333333
OOB,117,1000,0.0342857142857143,0.0333333333333333,0.185714285714286,0.193333333333333
Original,117,1000,0.127142857142857,0.0366666666666666,0.185714285714286,0.193333333333333
RF-GAP,1012,1000,0.00285714285714289,0,0.218571428571429,0.226666666666667
OOB,1012,1000,0.0557142857142857,0.0566666666666666,0.218571428571429,0.226666666666667
Original,1012,1000,0.147142857142857,0.0366666666666666,0.218571428571429,0.226666666666667
RF-GAP,840,1000,0.00142857142857145,0,0.185714285714286,0.18
OOB,840,1000,0.0600000000000001,0.0533333333333333,0.185714285714286,0.18
Original,840,1000,0.12,0.0366666666666666,0.185714285714286,0.18
RF-GAP,654,1000,0.00428571428571434,0,0.211428571428571,0.216666666666667
OOB,654,1000,0.0671428571428572,0.04,0.211428571428571,0.216666666666667
Original,654,1000,0.144285714285714,0.0333333333333333,0.211428571428571,0.216666666666667
RF-GAP,606,1000,0.00142857142857145,0,0.204285714285714,0.24
OOB,606,1000,0.0642857142857143,0.0733333333333334,0.204285714285714,0.24
Original,606,1000,0.132857142857143,0.07,0.204285714285714,0.24
RF-GAP,234,1000,0,0,0.205714285714286,0.183333333333333
OOB,234,1000,0.0428571428571428,0.0433333333333333,0.205714285714286,0.183333333333333
Original,234,1000,0.142857142857143,0.0366666666666666,0.205714285714286,0.183333333333333
RF-GAP,2024,1000,0,0,0.194285714285714,0.216666666666667
OOB,2024,1000,0.0471428571428572,0.0333333333333333,0.194285714285714,0.216666666666667
Original,2024,1000,0.12,0.0333333333333333,0.194285714285714,0.216666666666667
RF-GAP,1260,1000,0.00142857142857145,0,0.208571428571429,0.206666666666667
OOB,1260,1000,0.0485714285714286,0.0533333333333333,0.208571428571429,0.206666666666667
Original,1260,1000,0.137142857142857,0.0466666666666666,0.208571428571429,0.206666666666667
RF-GAP,981,1000,0.00285714285714289,0,0.191428571428571,0.176666666666667
OOB,981,1000,0.0471428571428572,0.0266666666666666,0.191428571428571,0.176666666666667
Original,981,1000,0.13,0.0166666666666667,0.191428571428571,0.176666666666667
RF-GAP,909,1000,0.00142857142857145,0,0.168571428571429,0.186666666666667
OOB,909,1000,0.04,0.03,0.168571428571429,0.186666666666667
Original,909,1000,0.0985714285714285,0.0233333333333333,0.168571428571429,0.186666666666667
RF-GAP,351,1000,0.00285714285714289,0,0.2,0.143333333333333
OOB,351,1000,0.0485714285714286,0.04,0.2,0.143333333333333
Original,351,1000,0.118571428571429,0.0333333333333333,0.2,0.143333333333333
RF-GAP,3036,1000,0.00142857142857145,0,0.198571428571429,0.2
OOB,3036,1000,0.0557142857142857,0.0566666666666666,0.198571428571429,0.2
Original,3036,1000,0.13,0.0433333333333333,0.198571428571429,0.2
RF-GAP,1680,1000,0.00285714285714289,0,0.215714285714286,0.196666666666667
OOB,1680,1000,0.0471428571428572,0.0466666666666666,0.215714285714286,0.196666666666667
Original,1680,1000,0.155714285714286,0.0366666666666666,0.215714285714286,0.196666666666667
RF-GAP,1308,1000,0.00142857142857145,0,0.21,0.183333333333333
OOB,1308,1000,0.0642857142857143,0.0566666666666666,0.21,0.183333333333333
Original,1308,1000,0.135714285714286,0.04,0.21,0.183333333333333
RF-GAP,1212,1000,0,0,0.184285714285714,0.203333333333333
OOB,1212,1000,0.0471428571428572,0.0566666666666666,0.184285714285714,0.203333333333333
Original,1212,1000,0.124285714285714,0.0466666666666666,0.184285714285714,0.203333333333333
RF-GAP,468,1000,0.00142857142857145,0,0.234285714285714,0.246666666666667
OOB,468,1000,0.0614285714285714,0.0633333333333334,0.234285714285714,0.246666666666667
Original,468,1000,0.16,0.0533333333333333,0.234285714285714,0.246666666666667
RF-GAP,4048,1000,0.00285714285714289,0,0.198571428571429,0.19
OOB,4048,1000,0.0557142857142857,0.0366666666666666,0.198571428571429,0.19
Original,4048,1000,0.141428571428571,0.03,0.198571428571429,0.19
RF-GAP,420,2000,0.000714285714285667,0,0.179285714285714,0.201666666666667
OOB,420,2000,0.0442857142857143,0.045,0.179285714285714,0.201666666666667
Original,420,2000,0.105,0.035,0.179285714285714,0.201666666666667
RF-GAP,327,2000,0.000714285714285667,0,0.181428571428571,0.205
OOB,327,2000,0.0407142857142857,0.0583333333333334,0.181428571428571,0.205
Original,327,2000,0.103571428571429,0.0466666666666666,0.181428571428571,0.205
RF-GAP,303,2000,0.000714285714285667,0,0.193571428571429,0.19
OOB,303,2000,0.05,0.0516666666666666,0.193571428571429,0.19
Original,303,2000,0.108571428571429,0.0366666666666666,0.193571428571429,0.19
RF-GAP,117,2000,0.00214285714285711,0,0.205714285714286,0.178333333333333
OOB,117,2000,0.0507142857142857,0.0483333333333333,0.205714285714286,0.178333333333333
Original,117,2000,0.131428571428571,0.0416666666666666,0.205714285714286,0.178333333333333
RF-GAP,1012,2000,0.00142857142857145,0,0.188571428571429,0.22
OOB,1012,2000,0.0471428571428572,0.0416666666666666,0.188571428571429,0.22
Original,1012,2000,0.108571428571429,0.0433333333333333,0.188571428571429,0.22
RF-GAP,840,2000,0.000714285714285667,0,0.207857142857143,0.216666666666667
OOB,840,2000,0.0492857142857143,0.0533333333333333,0.207857142857143,0.216666666666667
Original,840,2000,0.127857142857143,0.0466666666666666,0.207857142857143,0.216666666666667
RF-GAP,654,2000,0.000714285714285667,0,0.195714285714286,0.22
OOB,654,2000,0.045,0.035,0.195714285714286,0.22
Original,654,2000,0.121428571428571,0.0266666666666666,0.195714285714286,0.22
RF-GAP,606,2000,0.00357142857142856,0,0.204285714285714,0.186666666666667
OOB,606,2000,0.0528571428571428,0.0416666666666666,0.204285714285714,0.186666666666667
Original,606,2000,0.121428571428571,0.035,0.204285714285714,0.186666666666667
RF-GAP,234,2000,0.000714285714285667,0,0.185714285714286,0.166666666666667
OOB,234,2000,0.0564285714285714,0.0483333333333333,0.185714285714286,0.166666666666667
