"dataset","seed","node_size","pct_no_match","rf_error","prox_error","error_difference","proximity_type"
"auto-mpg","117",1,0.905046518495975,7.29427605422093,2.03292161731962,5.26135443690131,"original"
"auto-mpg","117",5,0.731159596447555,7.38928495155283,2.97062357809049,4.41866137346234,"original"
"auto-mpg","117",10,0.565811812084836,7.64329809740037,4.09837119997883,3.54492689742153,"original"
"auto-mpg","117",20,0.411061436306353,7.98631026857564,5.49954683291461,2.48676343566104,"original"
"auto-mpg","117",50,0.314803726793819,9.10363447714797,7.32579216127911,1.77784231586886,"original"
"auto-mpg","1012",1,0.919922824128638,7.31116223580254,2.00552193973615,5.30564029606639,"original"
"auto-mpg","1012",5,0.759228116216152,7.57975414604227,2.96370089507192,4.61605325097035,"original"
"auto-mpg","1012",10,0.588818923330668,7.70960628374569,4.07486999578658,3.63473628795912,"original"
"auto-mpg","1012",20,0.42996472185692,8.00648674842024,5.47875140904797,2.52773533937228,"original"
"auto-mpg","1012",50,0.316610713416977,8.94917714198395,7.3532619812641,1.59591516071985,"original"
